Bib,Bib2,Name,Cat1,Cat2,Cat3,Start_Hr,Start_Min,Start_Sec,Kayak_Hr,Kayak_Min,Kayak_Sec,Bike_Hr,Bike_Min,Bike_Sec,Run_Hr,Run_Min,Run_Sec
77,,Husman & Bauer,Relay,Men's,2,7,39,55,8,8,36,9,1,40,9,21,40
74,,Better Than Last Time,Relay,Men's,2,7,40,59,8,12,57,9,0,0,9,21,2
78,,Soaring Eagles,Relay,Men's,2,7,38,28,8,8,9,8,54,9,9,16,47
76,,Chamberlin & Chamberlin,Relay,Men's,2,7,37,31,8,11,4,8,53,53,9,17,38
80,,Wagner & Gomez,Relay,Men's,2,7,43,54,8,15,2,9,2,40,9,26,57
79,,VerPloeg & Woods,Relay,Men's,2,7,37,31,8,3,46,8,54,41,9,21,47
13,,South Dakota Expats,Relay,Men's,2,7,39,55,8,2,22,8,53,0,9,20,48
75,,campers,Relay,Men's,2,7,34,15,8,3,50,9,5,0,9,40,39
81,,E-Z,Relay,Coed,2,7,34,15,8,10,27,9,9,23,9,37,57
59,,"Ahrens, Delaney & Barton",Relay,Men's,3,7,28,56,7,57,42,8,41,4,9,3,39
60,,Gilbert 157 black,Relay,Men's,3,7,40,59,8,11,19,9,3,55,9,27,32
62,,Why Not,Relay,Men's,3,7,28,56,7,58,2,8,53,28,9,19,21
61,,Gilbert 157 white,Relay,Men's,3,7,40,59,8,16,39,9,4,0,9,31,24
65,,Team Merkel,Relay,Coed,3,7,30,8,8,11,8,9,13,16,9,38,43
64,,Team Chicken,Relay,Coed,3,7,42,22,8,18,29,9,24,35,9,54,41
66,,"Hauber, Welsh & Bright",Relay,Women's,3,7,30,8,8,0,10,8,45,49,9,11,22
82,,Gilbert 157 red,Relay,Men's,4,7,40,59,8,26,6,9,21,23,9,41,37
84,,"Murphy, Downs Stromberg 2",Relay,Coed,4,7,37,31,8,6,38,9,6,0,9,35,49
17,,Venner,Solo,Men's,1,7,37,31,8,11,33,8,56,18,9,16,50
10,,Rustad,Solo,Men's,1,7,38,28,8,14,35,9,11,53,9,36,44
23,,McCollough,Solo,Men's,1,7,32,10,8,0,51,8,45,50,9,11,15
55,,Paul Gryte,Solo,Men's,1,7,45,12,8,22,39,9,15,32,9,41,9
54,,Matt O'Neal,Solo,Men's,1,7,42,22,8,14,3,9,3,50,9,29,33
20,,Faulkner,Solo,Men's,1,7,37,31,8,8,8,9,5,45,9,32,29
26,,Birt,Solo,Men's,1,7,38,28,8,6,34,9,4,16,9,31,5
24,,Moss,Solo,Men's,1,7,30,8,7,57,16,8,46,6,9,13,14
7,,Matt Garber,Solo,Men's,1,7,42,22,8,11,7,9,5,22,9,32,51
22,,Weibel,Solo,Men's,1,7,28,56,7,56,39,8,48,6,9,15,47
18,,DeGroot,Solo,Men's,1,7,39,55,8,6,14,9,0,10,9,28,17
1,,BB,Solo,Men's,1,7,40,59,8,10,14,9,0,52,9,30,21
53,,Adam Brooks,Solo,Men's,1,7,32,10,7,59,25,8,47,58,9,17,51
25,,Holland ,Solo,Men's,1,7,39,55,8,9,54,9,4,54,9,34,51
85,,Ryan Hanssen,Solo,Men's,1,7,43,54,8,19,26,9,20,56,9,51,18
15,,Coder,Solo,Men's,1,7,34,15,,,,8,54,8,9,25,9
16,,Terminator,Solo,Men's,1,7,39,55,,,,9,13,35,9,45,28
8,,Helfer,Solo,Men's,1,7,43,54,8,19,15,9,10,36,9,42,52
5,,Kent Nicholson,Solo,Men's,1,7,34,15,8,6,51,9,9,13,9,47,54
51,,Stomberg,Solo,Women's,1,7,37,31,8,9,56,9,7,12,9,31,33
36,,Danielson,Solo,Women's,1,7,32,10,8,9,20,9,7,31,9,32,34
39,,Dralle,Solo,Women's,1,7,31,10,8,5,26,8,56,36,9,22,21
52,,Fritzell,Solo,Women's,1,7,38,28,8,5,54,8,58,21,9,25,16
32,,jill sager,Solo,Women's,1,7,30,8,8,5,7,8,58,49,9,26,31
30,,barbara bacon,Solo,Women's,1,7,30,8,8,8,29,9,7,17,9,35,8
34,,mr,Solo,Women's,1,7,32,10,8,2,5,8,54,6,9,24,24
31,,gogirl,Solo,Women's,1,7,40,59,8,14,48,9,7,33,9,37,55
28,,Birt,Solo,Women's,1,7,38,28,8,7,0,9,9,36,9,44,49
50,,zoom-zoom,Solo,Women's,1,7,45,12,8,22,43,9,26,52,10,2,41
33,,Mississippi,Solo,Women's,1,7,45,12,8,22,47,9,26,54,10,3,10
49,,Team Thompson,Solo,Women's,1,7,28,56,8,8,22,9,27,55,10,21,16
4,A  ,Hart & Hart,Tandem,Men's,1,7,30,8,8,3,23,9,8,45,9,44,58
4,B,Hart & Hart,Tandem,Men's,1,,,,,,,9,8,45,9,44,58
6,A  ,Oh God Run,Tandem,Men's,1,7,45,12,8,21,23,9,14,57,9,43,37
6,B,Oh God Run,Tandem,Men's,1,,,,,,,9,14,55,9,39,8
14,A  ,2MATOS,Tandem,Coed,1,7,32,10,8,1,54,8,55,4,9,21,45
14,B,2MATOS,Tandem,Coed,1,,,,,,,8,50,14,9,20,37
46,A  ,Hollander & Hollander,Tandem,Coed,1,7,28,56,7,57,55,9,3,20,9,52,49
46,B,Hollander & Hollander,Tandem,Coed,1,,,,,,,9,3,20,9,35,2
47,A  ,Nelson & Nelson,Tandem,Coed,1,7,42,22,8,21,37,9,13,38,9,39,47
47,B,Nelson & Nelson,Tandem,Coed,1,,,,,,,9,19,49,9,52,33
48,A  ,Pederson & Schultz,Tandem,Coed,1,7,28,56,7,58,7,9,2,30,9,30,7
48,B,Pederson & Schultz,Tandem,Coed,1,,,,,,,8,52,11,9,18,38
63,A  ,Team Carney,Tandem,Coed,1,7,42,22,8,16,27,9,9,21,9,31,23
63,B,Team Carney,Tandem,Coed,1,,,,,,,9,14,32,9,44,15
67,A  ,Team Plunkett,Tandem,Coed,1,7,43,54,8,13,29,9,1,32,9,26,31
67,B,Team Plunkett,Tandem,Coed,1,,,,,,,8,59,21,9,21,16
68,A  ,Wilson 2,Tandem,Coed,1,7,42,22,8,15,58,9,4,4,9,29,15
